층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
2층,D블록,3,11,2층 D블록3열 11,-938,2473,717,2층 B블록3열 1
2층,E블록,3,1,2층 E블록3열 1,-1098,2390,717,2층 A블록3열 18
2층,E블록,3,2,2층 E블록3열 2,-1136,2349,717,2층 A블록3열 17
2층,E블록,3,3,2층 E블록3열 3,-1175,2309,717,2층 A블록3열 16
2층,E블록,3,4,2층 E블록3열 4,-1213,2269,717,2층 A블록3열 15
2층,E블록,3,5,2층 E블록3열 5,-1251,2228,717,2층 A블록3열 14
2층,E블록,3,6,2층 E블록3열 6,-1289,2188,717,2층 A블록3열 13
2층,E블록,3,7,2층 E블록3열 7,-1327,2148,717,2층 A블록3열 12
2층,E블록,3,8,2층 E블록3열 8,-1365,2107,717,2층 A블록3열 11
2층,E블록,3,9,2층 E블록3열 9,-1404,2067,717,2층 A블록3열 10
2층,E블록,3,10,2층 E블록3열 10,-1442,2027,717,2층 A블록3열 9
2층,E블록,3,11,2층 E블록3열 11,-1480,1987,717,2층 A블록3열 8
2층,E블록,3,12,2층 E블록3열 12,-1518,1946,717,2층 A블록3열 7
2층,E블록,3,13,2층 E블록3열 13,-1556,1906,717,2층 A블록3열 6
2층,E블록,3,14,2층 E블록3열 14,-1594,1866,717,2층 A블록3열 5
2층,E블록,3,15,2층 E블록3열 15,-1633,1825,717,2층 A블록3열 4
2층,E블록,3,16,2층 E블록3열 16,-1671,1785,717,2층 A블록3열 3
2층,E블록,3,17,2층 E블록3열 17,-1709,1745,717,2층 A블록3열 2
2층,E블록,3,18,2층 E블록3열 18,-1747,1705,717,2층 A블록3열 1
2층,A블록,4,1,2층 A블록4열 1,1822,1771,760,2층 E블록4열 19
2층,A블록,4,2,2층 A블록4열 2,1785,1810,760,2층 E블록4열 18
2층,A블록,4,3,2층 A블록4열 3,1747,1850,760,2층 E블록4열 17
2층,A블록,4,4,2층 A블록4열 4,1709,1890,760,2층 E블록4열 16
2층,A블록,4,5,2층 A블록4열 5,1672,1929,760,2층 E블록4열 15
2층,A블록,4,6,2층 A블록4열 6,1634,1969,760,2층 E블록4열 14
2층,A블록,4,7,2층 A블록4열 7,1597,2009,760,2층 E블록4열 13
2층,A블록,4,8,2층 A블록4열 8,1559,2049,760,2층 E블록4열 12
2층,A블록,4,9,2층 A블록4열 9,1521,2088,760,2층 E블록4열 11
2층,A블록,4,10,2층 A블록4열 10,1484,2128,760,2층 E블록4열 10
2층,A블록,4,11,2층 A블록4열 11,1446,2168,760,2층 E블록4열 9
2층,A블록,4,12,2층 A블록4열 12,1409,2207,760,2층 E블록4열 8
2층,A블록,4,13,2층 A블록4열 13,1371,2247,760,2층 E블록4열 7
2층,A블록,4,14,2층 A블록4열 14,1333,2287,760,2층 E블록4열 6
2층,A블록,4,15,2층 A블록4열 15,1296,2327,760,2층 E블록4열 5
2층,A블록,4,16,2층 A블록4열 16,1258,2366,760,2층 E블록4열 4
2층,A블록,4,17,2층 A블록4열 17,1220,2406,760,2층 E블록4열 3
2층,A블록,4,18,2층 A블록4열 18,1183,2446,760,2층 E블록4열 2
2층,A블록,4,19,2층 A블록4열 19,1145,2485,760,2층 E블록4열 1
2층,B블록,4,1,2층 B블록4열 1,984,2569,760,2층 D블록4열 11
2층,B블록,4,2,2층 B블록4열 2,927,2575,760,2층 D블록4열 10
2층,B블록,4,3,2층 B블록4열 3,870,2580,760,2층 D블록4열 9
2층,B블록,4,4,2층 B블록4열 4,813,2585,760,2층 D블록4열 8
2층,B블록,4,5,2층 B블록4열 5,755,2591,760,2층 D블록4열 7
2층,B블록,4,6,2층 B블록4열 6,698,2596,760,2층 D블록4열 6
2층,B블록,4,7,2층 B블록4열 7,641,2601,760,2층 D블록4열 5
2층,B블록,7,8,2층 B블록7열 8,750,2893,888,2층 D블록7열 7
2층,B블록,7,9,2층 B블록7열 9,696,2898,888,2층 D블록7열 6
2층,B블록,4,10,2층 B블록4열 10,470,2612,760,2층 D블록4열 2
2층,B블록,4,11,2층 B블록4열 11,412,2615,760,2층 D블록4열 1
2층,C블록,4,1,2층 C블록4열 1,262,2620,760,2층 C블록4열 12
2층,C블록,4,2,2층 C블록4열 2,215,2621,760,2층 C블록4열 11
2층,C블록,4,3,2층 C블록4열 3,167,2622,760,2층 C블록4열 10
2층,C블록,4,4,2층 C블록4열 4,119,2623,760,2층 C블록4열 9
2층,C블록,4,5,2층 C블록4열 5,72,2624,760,2층 C블록4열 8
2층,C블록,4,6,2층 C블록4열 6,24,2624,760,2층 C블록4열 7
2층,C블록,4,7,2층 C블록4열 7,-24,2624,760,2층 C블록4열 6
