층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각
1층,C블록,2,6,1층 C블록2열 6,29,842,-76,1층 C블록2열 7,845.9202090031896,100.18481508498577,5.987950300503558
1층,C블록,2,7,1층 C블록2열 7,-29,842,-76,1층 C블록2열 6,845.9202090031896,100.18481508498577,5.987950300503558
1층,C블록,2,8,1층 C블록2열 8,-88,841,-76,1층 C블록2열 5,849.0,99.83991077199643,8.481368054584193
1층,C블록,2,9,1층 C블록2열 9,-147,840,-76,1층 C블록2열 4,856.145431571062,99.04923717489598,11.827700584956496
1층,C블록,2,10,1층 C블록2열 10,-206,839,-76,1층 C블록2열 3,867.2560175634413,97.80486877128888,15.222371011482652
1층,C블록,2,11,1층 C블록2열 11,-265,835,-76,1층 C블록2열 2,879.3327015413449,96.36025757028352,18.49731695260118
1층,C블록,2,12,1층 C블록2열 12,-324,832,-76,1층 C블록2열 1,896.0892812661024,94.34134424074708,21.395804031584916
1층,D블록,2,1,1층 D블록2열 1,-482,820,-76,1층 B블록2열 10,954.2012366372201,86.77468919241224,27.424509686906287
1층,D블록,2,2,1층 D블록2열 2,-535,815,-76,1층 B블록2열 9,977.8680892635775,83.48680989481986,28.89407806092276
1층,D블록,2,3,1층 D블록2열 3,-587,811,-76,1층 B블록2열 8,1004.0249000896342,79.82708391981123,30.034790510152426
1층,D블록,2,4,1층 D블록2열 4,-640,804,-76,1층 B블록2열 7,1030.4329187288224,75.91261567514772,31.090348128681644
1층,D블록,2,5,1층 D블록2열 5,-692,796,-76,1층 B블록2열 6,1057.4762408678505,71.80111779556437,31.95921826476641
1층,D블록,2,6,1층 D블록2열 6,-744,789,-76,1층 B블록2열 5,1087.1214283602362,67.39603106678143,32.59352037275796
1층,D블록,2,7,1층 D블록2열 7,-796,782,-76,1층 B블록2열 4,1118.4435613834075,62.837957422656366,33.060189879009
1층,D블록,2,8,1층 D블록2열 8,-848,773,-76,1층 B블록2열 3,1149.9604341019738,58.24596950875117,33.454478254699886
1층,D블록,2,9,1층 D블록2열 9,-900,764,-76,1층 B블록2열 2,1182.9928148556103,53.66283621271867,33.71368187209411
1층,D블록,2,10,1층 D블록2열 10,-952,756,-76,1층 B블록2열 1,1218.0377662453657,49.194703578875355,33.822205150783425
1층,E블록,2,1,1층 E블록2열 1,-1107,725,-76,1층 A블록2열 9,1325.4621835420278,37.08416920333321,33.817093969784466
1층,E블록,2,2,1층 E블록2열 2,-1153,716,-76,1층 A블록2열 8,1359.3531549968905,33.97219006171074,33.6794799194432
1층,E블록,2,3,1층 E블록2열 3,-1200,705,-76,1층 A블록2열 7,1393.8439654423303,30.982195998950385,33.53621532509814
1층,E블록,2,4,1층 E블록2열 4,-1246,694,-76,1층 A블록2열 6,1428.2604804446562,28.28214363788592,33.35685746838681
1층,E블록,2,5,1층 E블록2열 5,-1293,683,-76,1층 A블록2열 5,1464.2793449338824,25.764278910661737,33.128498815640704
1층,E블록,2,6,1층 E블록2열 6,-1339,671,-76,1층 A블록2열 4,1499.645958218139,23.47419782079919,32.897487655705135
1층,E블록,2,7,1층 E블록2열 7,-1386,659,-76,1층 A블록2열 3,1536.5718336608934,21.35143528083405,32.62476865281675
1층,E블록,2,8,1층 E블록2열 8,-1432,646,-76,1층 A블록2열 2,1572.8051373262995,19.42005881436502,32.35487735438116
1층,E블록,2,9,1층 E블록2열 9,-1478,634,-76,1층 A블록2열 1,1610.0360244416893,17.696109733377096,32.04370409614626
1층,A블록,3,1,1층 A블록3열 1,1503,725,-59,1층 E블록3열 9,1669.7649535189078,19.7317249264346,30.253500035001334
1층,A블록,3,2,1층 A블록3열 2,1457,738,-59,1층 E블록3열 8,1634.3114758209342,21.44296823022092,30.45790041164636
1층,A블록,3,3,1층 A블록3열 3,1411,751,-59,1층 E블록3열 7,1599.5008596434077,23.296085150298392,30.63529273418019
1층,A블록,3,4,1층 A블록3열 4,1362,764,-59,1층 E블록3열 6,1562.760698251655,25.41081572258345,30.806963682120777
1층,A블록,3,5,1층 A블록3열 5,1315,775,-59,1층 E블록3열 5,1527.52446788914,27.56649084702269,30.96651204359573
1층,A블록,3,6,1층 A블록3열 6,1269,786,-59,1층 E블록3열 4,1493.8667945971622,29.847681211526393,31.08199217310202
1층,A블록,3,7,1층 A블록3열 7,1222,798,-59,1층 E블록3열 3,1460.674159420916,32.36728652667333,31.140306009798728
1층,A블록,3,8,1층 A블록3열 8,1172,809,-59,1층 E블록3열 2,1425.3231212605792,35.1941410045543,31.19076294677282
1층,A블록,3,9,1층 A블록3열 9,1125,819,-59,1층 E블록3열 1,1392.7910826825394,38.01878030643527,31.19293507745205
1층,B블록,3,1,1층 B블록3열 1,968,850,-59,1층 D블록3열 10,1289.5755115540928,48.46934647508971,30.807090829372505
1층,B블록,3,2,1층 B블록3열 2,915,858,-59,1층 D블록3열 9,1255.7348446228607,52.254061517999226,30.561143173005437
1층,B블록,3,3,1층 B블록3열 3,862,867,-59,1층 D블록3열 8,1224.015522777387,56.094638767313995,30.169949806570465
1층,B블록,3,4,1층 B블록3열 4,809,876,-59,1층 D블록3열 7,1193.8752028583222,59.92212737208023,29.649394002710483
1층,B블록,3,5,1층 B블록3열 5,756,883,-59,1층 D블록3열 6,1163.9183820182582,63.72277125112616,29.056013406372447
1층,B블록,3,6,1층 B블록3열 6,703,891,-59,1층 D블록3열 5,1136.4730529141464,67.36764129855193,28.27020872987026
1층,B블록,3,7,1층 B블록3열 7,650,898,-59,1층 D블록3열 4,1110.1283709553593,70.85760149416893,27.348354479753105
1층,B블록,3,8,1층 B블록3열 8,597,905,-59,1층 D블록3열 3,1085.7785225357886,74.10988853802485,26.23855758718652
1층,B블록,3,9,1층 B블록3열 9,544,910,-59,1층 D블록3열 2,1061.8460340369502,77.19397769936448,25.003068115667496
