공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2019-08-25 17:00:00,0.463,0.475,5,147396531.13709715,5,0.9214253933156966,80069.86,0,120000,"[0.0, 1.0, 1.53, 2.25, 2.98]","[0, 40022, 61421, 89931, 119326]","[147, 461, 468, 583, 846]","[0.4082, 0.5662, 0.5427, 0.4923, 0.3865]",0.0,1.0,1.53,2.25,2.98
2019-08-30 20:00:00,0.007,0.842,4,55262095.074396476,3,0.815860193152151,26622.75,0,50000,"[0.0, 1.0, 1.96]","[0, 23872, 46694]","[414, 1356, 735]","[0.3213, 0.9528, 0.9306]",0.0,1.0,1.96,,
2019-08-31 17:00:00,0.099,0.158,1,1.8572962020523986e-24,3,1.0,27784.43,0,40000,"[0.0, 1.0, 1.33]","[0, 30000, 40000]","[546, 876, 1083]","[0.0018, 0.1541, 0.241]",0.0,1.0,1.33,,
2019-09-08 17:00:00,0.005,0.795,10,188674305.52077445,5,0.9509552801970116,43854.29,0,65000,"[1.0, 50.04, 57.08, 62.79, 69.65]","[876, 43833, 50000, 55000, 61005]","[411, 210, 923, 747, 214]","[0.2774, 0.7476, 0.922, 0.929, 0.8224]",1.0,50.04,57.08,62.79,69.65
2019-09-25 20:00:00,0.187,0.193,5,134252176.09626466,4,0.858781278909215,79057.88,0,120000,"[0.0, 1.0, 1.69, 2.25]","[0, 52859, 89415, 119074]","[309, 633, 726, 837]","[0.0712, 0.3223, 0.2135, 0.1231]",0.0,1.0,1.69,2.25,
2019-10-01 20:00:00,0.121,0.121,25,209485264.91065437,3,0.7449885575112755,48580.84,0,90000,"[0.0, 1.0, 1.86]","[0, 44098, 82138]","[407, 1331, 767]","[0.1523, 0.0834, 0.1708]",0.0,1.0,1.86,,
2019-10-06 17:00:00,0.493,0.493,9,992414737.5347456,5,0.92123791011252,162143.71,0,280000,"[0.0, 1.0, 1.72, 2.64, 3.94]","[0, 70000, 120465, 184498, 275752]","[150, 467, 602, 588, 698]","[0.1467, 0.8887, 0.7608, 0.3112, 0.2264]",0.0,1.0,1.72,2.64,3.94
2019-10-10 19:30:00,0.049,0.97,1,120705128.20512822,4,0.8786823867792365,53984.03,0,100000,"[0.0, 1.0, 1.62, 2.32]","[0, 43102, 70000, 100000]","[518, 806, 587, 594]","[0.971, 0.9417, 0.9864, 0.9916]",0.0,1.0,1.62,2.32,
2019-10-13 17:00:00,0.13,0.151,1,81387310.6060606,4,0.9068706359814487,61043.91,0,100000,"[1.0, 62.04, 112.28, 140.35]","[712, 44202, 80000, 100000]","[400, 783, 709, 613]","[0.0125, 0.2248, 0.11, 0.1958]",1.0,62.04,112.28,140.35,
2019-10-15 20:00:00,0.029,0.854,7,48530373.560390435,4,0.7414380262423348,106956.09,0,150000,"[0.0, 1.0, 1.41, 1.72]","[0, 84709, 119446, 145613]","[304, 464, 929, 808]","[0.3224, 0.7802, 0.9623, 0.9728]",0.0,1.0,1.41,1.72,
2019-10-22 20:00:00,0.179,0.228,4,142868889.76242098,5,0.8950928023019848,77802.4,0,120000,"[0.0, 1.0, 1.49, 2.2, 2.89]","[0, 41098, 61231, 90335, 118662]","[94, 501, 536, 761, 613]","[0.1383, 0.2555, 0.2201, 0.18, 0.2855]",0.0,1.0,1.49,2.2,2.89
2019-10-31 20:00:00,0.013,0.802,28,188988037.06540507,4,0.9976609281437125,20786.43,0,30000,"[0.0, 1.0, 1.26, 1.51]","[0, 19845, 25000, 30000]","[402, 129, 1942, 32]","[0.291, 0.5504, 0.9253, 0.7188]",0.0,1.0,1.26,1.51,
2019-11-01 20:00:00,0.251,0.257,11,221549729.4648543,4,0.7714706567305063,88774.45,0,150000,"[0.0, 1.0, 2.1, 3.23]","[0, 45584, 95583, 147051]","[421, 437, 772, 875]","[0.076, 0.4233, 0.2902, 0.232]",0.0,1.0,2.1,3.23,
2019-11-16 17:00:00,0.123,0.675,5,561162048.2152389,5,0.7590918494114992,89512.97,0,160000,"[1.0, 25.57, 46.78, 81.81, 100.15]","[1571, 40170, 73491, 128524, 157334]","[296, 560, 454, 698, 497]","[0.5034, 0.4446, 0.5419, 0.8797, 0.8732]",1.0,25.57,46.78,81.81,100.15
2019-11-17 17:00:00,0.548,0.754,2,1121102814.8882158,5,0.9121857540905839,217389.22,0,320000,"[1.0, 2.32, 3.54, 5.05, 6.2]","[51625, 119974, 182691, 260919, 319945]","[403, 388, 301, 506, 907]","[0.6998, 0.8299, 0.9236, 0.7826, 0.6736]",1.0,2.32,3.54,5.05,6.2
2019-11-20 20:00:00,0.32,0.33,26,526338762.0187553,4,0.6894959124933503,126155.69,0,200000,"[1.0, 3.15, 5.18, 7.48]","[25210, 79465, 130468, 188513]","[429, 551, 449, 1076]","[0.4942, 0.4319, 0.2784, 0.2333]",1.0,3.15,5.18,7.48,
2019-11-26 20:00:00,0.051,0.198,10,813018554.9650303,4,0.6648247146595129,49884.23,0,100000,"[0.0, 1.0, 1.61, 2.21]","[0, 40288, 64701, 88956]","[411, 902, 718, 474]","[0.0876, 0.163, 0.2006, 0.3586]",0.0,1.0,1.61,2.21,
2019-11-30 17:00:00,0.175,0.376,5,165798637.53591874,5,0.68599778608228,39966.07,0,80000,"[1.0, 2.65, 5.34, 7.98, 10.08]","[7870, 20891, 42019, 62804, 79347]","[432, 791, 369, 469, 444]","[0.3403, 0.2086, 0.1247, 0.5288, 0.759]",1.0,2.65,5.34,7.98,10.08
2019-12-06 20:00:00,0.295,0.302,3,166059399.67086092,4,0.8405172478414932,111289.42,0,180000,"[0.0, 1.0, 2.07, 3.38]","[0, 50450, 104338, 170407]","[452, 322, 491, 1240]","[0.115, 0.587, 0.3238, 0.2879]",0.0,1.0,2.07,3.38,
2019-12-07 17:00:00,0.04,0.702,3,112733697.04149489,4,0.7799854789332465,49628.74,0,100000,"[1.0, 7.34, 12.84, 23.27]","[4184, 30728, 53737, 97362]","[343, 467, 1295, 400]","[0.1808, 0.9143, 0.7645, 0.7]",1.0,7.34,12.84,23.27,
