공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2019-10-13 17:00:00,0.13,0.151,1,81.3873106060606,5,0.987624750499002,63994.01,0,100000,"[0.0, 1.0, 1.73, 2.77, 3.46]","[0, 28933, 50000, 80000, 100000]","[274, 267, 590, 716, 658]","[0.0, 0.2397, 0.1932, 0.1089, 0.1869]",0.0,1.0,1.73,2.77,3.46
2019-10-15 20:00:00,0.029,0.854,7,48.53037356039046,4,0.7012699817382427,111940.12,0,150000,"[0.0, 1.0, 1.43, 1.77]","[0, 81244, 116202, 143654]","[202, 398, 932, 973]","[0.0, 0.7588, 0.9517, 0.9774]",0.0,1.0,1.43,1.77,
2019-10-22 20:00:00,0.179,0.228,4,142.868889762421,4,0.8944510631703727,80782.44,40000,120000,"[1.0, 1.49, 2.2, 2.89]","[41085, 61140, 90318, 118705]","[507, 579, 786, 633]","[0.2525, 0.2124, 0.1845, 0.2765]",1.0,1.49,2.2,2.89,
2019-10-31 20:00:00,0.013,0.802,28,188.98803706540508,4,0.9976604929675532,22061.88,0,30000,"[0.0, 1.0, 1.26, 1.51]","[0, 19846, 25000, 30000]","[274, 130, 2069, 32]","[0.0, 0.5538, 0.9246, 0.7188]",0.0,1.0,1.26,1.51,
2019-11-01 20:00:00,0.251,0.257,11,221.54972946485427,4,0.7694596264639264,94421.16,0,150000,"[0.0, 1.0, 2.08, 3.28]","[0, 44078, 91470, 144646]","[274, 472, 728, 1031]","[0.0, 0.4153, 0.2198, 0.2793]",0.0,1.0,2.08,3.28,
2019-11-16 17:00:00,0.123,0.675,5,561.1620482152389,5,0.7395516127519606,97532.93,0,160000,"[1.0, 8.33, 15.24, 26.81, 32.63]","[4817, 40132, 73385, 129108, 157139]","[109, 604, 480, 779, 533]","[0.156, 0.4255, 0.5458, 0.8909, 0.8668]",1.0,8.33,15.24,26.81,32.63
2019-11-17 17:00:00,0.548,0.754,2,1121.1028148882156,5,0.970285730117314,227097.8,70000,320000,"[1.0, 1.71, 2.62, 3.72, 4.57]","[70049, 119976, 183281, 260905, 319948]","[307, 409, 320, 514, 955]","[0.7915, 0.7873, 0.925, 0.7821, 0.6555]",1.0,1.71,2.62,3.72,4.57
2019-11-20 20:00:00,0.32,0.33,26,526.3387620187553,4,0.7280367459153093,136023.95,40000,200000,"[1.0, 1.91, 3.24, 4.46]","[43376, 82856, 140456, 193477]","[311, 590, 603, 1001]","[0.5434, 0.4271, 0.3201, 0.2118]",1.0,1.91,3.24,4.46,
2019-11-26 20:00:00,0.051,0.198,10,813.0185549650304,4,0.6422270784401668,52864.27,0,100000,"[0.0, 1.0, 1.6, 2.2]","[0, 40296, 64592, 88611]","[274, 979, 748, 504]","[0.0, 0.1675, 0.1965, 0.369]",0.0,1.0,1.6,2.2,
2019-11-30 17:00:00,0.175,0.376,5,165.79863753591872,4,0.703614219483822,41333.33,10000,80000,"[1.0, 2.4, 3.56, 4.49]","[17686, 42410, 63012, 79356]","[1184, 388, 483, 450]","[0.2584, 0.134, 0.5135, 0.7489]",1.0,2.4,3.56,4.49,
